Incident_ID,Date,Country,Attack_Type,Severity,Affected_Users,Downtime_Hours,Financial_Loss,Status
INC0001,2023-03-07,UK,Ransomware,Critical,192,51.63,138276.81,Resolved
INC0002,2024-10-05,USA,DDoS,Critical,2544,55.5,440882.79,Resolved
INC0003,2023-03-10,Canada,DDoS,High,1053,26.4,303737.99,Open
INC0004,2023-07-04,Australia,Malware,High,958,12.66,297652.31,Resolved
INC0005,2024-08-02,Canada,Phishing,High,1994,22.29,477503.99,Open
INC0006,2024-02-15,India,DDoS,High,1589,19.41,480424.9,Resolved
INC0007,2023-01-18,Germany,Malware,Critical,727,52.04,410502.82,Open
INC0008,2024-09-07,India,Data Breach,Low,1451,58.19,7609.31,Open
INC0009,2024-12-05,Australia,Phishing,Low,619,7.21,4821.04,Resolved
INC0010,2023-07-12,Germany,Malware,High,3191,51.37,251378.48,Resolved
INC0011,2024-10-31,UK,Data Breach,Medium,4742,64.8,14916.79,Resolved
INC0012,2024-02-05,UK,Phishing,Medium,2585,32.03,16886.13,Resolved
INC0013,2024-12-05,Canada,DDoS,Medium,4363,71.83,11626.72,Open
INC0014,2023-03-14,USA,DDoS,Low,4362,51.45,5819.97,Open
INC0015,2024-09-28,Germany,Ransomware,Medium,72,55.79,6639.77,Open
INC0016,2024-04-01,Australia,Ransomware,Critical,3368,67.99,403258.59,Open
INC0017,2024-01-04,Germany,Phishing,Medium,2630,62.58,4552.65,Resolved
INC0018,2023-08-16,USA,Ransomware,Low,3696,40.19,7972.05,Resolved
INC0019,2024-01-05,Canada,Phishing,Low,3299,51.87,18945.2,Resolved
INC0020,2024-11-16,UK,Data Breach,Medium,2329,58.89,7218.54,Open
INC0021,2024-08-16,Germany,Phishing,Low,1655,69.8,2126.19,Open
INC0022,2024-09-26,USA,Ransomware,Low,469,71.07,8124.34,Open
INC0023,2023-03-22,Australia,Ransomware,Medium,3942,62.86,17612.86,Resolved
INC0024,2023-03-08,UK,Ransomware,Medium,2533,69.93,15123.86,Open
INC0025,2023-08-26,UK,Data Breach,High,4175,37.73,37430.23,Open
INC0026,2023-06-05,Canada,Malware,Low,2637,60.17,11942.91,Resolved
INC0027,2024-07-15,Australia,Malware,Low,125,56.66,11759.66,Open
INC0028,2023-02-18,Australia,Phishing,High,3281,40.85,354289.28,Open
INC0029,2024-02-15,USA,Data Breach,Medium,4553,21.83,7103.17,Open
INC0030,2023-06-09,India,Data Breach,Low,3329,44.83,2070.16,Resolved
INC0031,2024-05-05,Canada,Phishing,Medium,1742,13.59,17464.9,Open
INC0032,2023-04-05,Canada,Data Breach,Critical,357,25.62,89647.25,Resolved
INC0033,2024-02-26,USA,Phishing,High,4523,55.68,125965.76,Open
INC0034,2024-01-31,UK,Malware,Medium,1938,71.9,12633.61,Resolved
INC0035,2023-04-26,Australia,Malware,Medium,903,19.86,2323.65,Open
INC0036,2024-02-02,India,Data Breach,Low,2795,53.18,14146.01,Open
INC0037,2023-04-07,Germany,Ransomware,High,1252,61.91,410231.13,Open
INC0038,2024-01-21,UK,Data Breach,Low,645,15.84,18476.45,Open
INC0039,2023-02-02,UK,Ransomware,Low,915,65.75,9790.45,Resolved
INC0040,2024-01-08,Germany,Malware,Low,3992,41.37,18405.03,Open
INC0041,2023-09-21,Germany,Ransomware,Critical,3887,42.3,493511.14,Resolved
INC0042,2024-07-31,USA,Data Breach,Medium,1181,31.73,6559.39,Open
INC0043,2024-04-12,Australia,Phishing,Medium,179,57.96,10250.12,Open
INC0044,2023-12-13,USA,DDoS,High,3767,12.06,225890.3,Open
INC0045,2024-11-15,Australia,Ransomware,High,2998,23.93,133458.9,Resolved
INC0046,2024-01-14,Canada,Malware,Low,3319,31.36,4723.03,Open
INC0047,2024-06-29,Germany,Malware,Medium,2817,70.81,7294.27,Resolved
