Incident_ID,Response_Time_Hours,Resolution_Time_Hours,Team_Name
INC0001,23.94,61.18,Security Team C
INC0002,22.61,37.0,Security Team C
INC0003,7.66,45.23,Security Team A
INC0004,22.14,30.63,Security Team B
INC0005,13.88,95.81,Security Team B
INC0006,17.71,88.22,Security Team C
INC0007,17.57,61.58,Security Team B
INC0008,18.05,90.94,Security Team A
INC0009,2.77,108.55,Security Team C
INC0010,6.5,60.66,Security Team B
INC0011,9.35,14.08,Security Team A
INC0012,9.31,103.83,Security Team A
INC0013,1.15,98.18,Security Team A
INC0014,18.86,55.18,Security Team C
INC0015,11.49,5.15,Security Team B
INC0016,11.95,91.74,Security Team A
INC0017,16.61,41.58,Security Team C
INC0018,17.35,64.6,Security Team A
INC0019,14.12,29.76,Security Team B
INC0020,8.02,14.21,Security Team B
INC0021,12.94,102.04,Security Team B
INC0022,4.07,101.39,Security Team C
INC0023,19.47,36.47,Security Team A
INC0024,13.76,21.72,Security Team A
INC0025,24.0,61.76,Security Team B
INC0026,8.62,111.8,Security Team C
INC0027,2.55,89.46,Security Team C
INC0028,4.51,72.19,Security Team A
INC0029,14.1,46.25,Security Team C
INC0030,5.47,104.36,Security Team B
INC0031,16.47,37.82,Security Team C
INC0032,8.87,118.76,Security Team B
INC0033,21.25,12.92,Security Team B
INC0034,4.29,26.73,Security Team A
INC0035,18.43,11.71,Security Team A
INC0036,6.8,39.44,Security Team C
INC0037,18.48,17.41,Security Team B
INC0038,19.16,62.19,Security Team C
INC0039,17.3,57.87,Security Team C
INC0040,14.62,11.58,Security Team A
INC0041,17.63,8.57,Security Team C
INC0042,2.53,19.61,Security Team B
INC0043,19.54,86.24,Security Team A
INC0044,5.62,21.47,Security Team A
INC0045,19.87,56.29,Security Team C
INC0046,4.92,70.84,Security Team C
INC0047,9.25,75.0,Security Team A
INC0048,11.62,33.41,Security Team C
INC0049,13.22,53.29,Security Team B
INC0050,8.07,92.27,Security Team C
INC0051,11.99,27.69,Security Team B
INC0052,13.77,88.14,Security Team A
INC0053,5.73,60.95,Security Team C
INC0054,13.66,72.09,Security Team A
INC0055,22.25,94.96,Security Team B
INC0056,22.11,17.77,Security Team B
INC0057,20.2,37.74,Security Team C
